question#answer#equation#scratch#simplified_equation
Maria wants to buy a brand new bike. The retail price at the bike shop stands at $600. She saved $120 toward the purchase. As this was not enough, she asked her mother to give her the remaining amount. Her mother offered her $250 and told her that she needs to earn the rest working during the holidays. How much money must Maria earn to be able to buy the bike she wants?#230#600-370#<scratch>Subtracting 0 from 0 at digit level;  0 >= 0;  Borrow: 0; 0 - 0 = 0. move one place left; 0 remains 0; Subtracting 7 from 0 at digit level;  0 < 7;  Borrow: 1; 10 - 7 = 3. move one place left; 6 becomes 5; Subtracting 3 from 5 at digit level;  5 >= 3;  Borrow: 0; 5 - 3 = 2. move one place left; 0 remains 0; final result: 230.</scratch>#600 - 370
Anya has 4 times as many erasers as Andrea. If Andrea has 4 erasers, how many more erasers does Anya have than Andrea?#12#16-4#<scratch>Subtracting 4 from 6 at digit level;  6 >= 4;  Borrow: 0; 6 - 4 = 2. move one place left; 1 remains 1; Subtracting 0 from 1 at digit level;  1 >= 0;  Borrow: 0; 1 - 0 = 1. move one place left; 6 remains 6; final result: 12.</scratch>#16 - 4
Keith bought 8 new baseball trading cards to add to his collection. The next day his dog ate half of his collection. There are now only 46 cards left. How many cards did Keith start with?#84#92-8#<scratch>Subtracting 8 from 2 at digit level;  2 < 8;  Borrow: 1; 12 - 8 = 4. move one place left; 9 becomes 8; Subtracting 0 from 8 at digit level;  8 >= 0;  Borrow: 0; 8 - 0 = 8. move one place left; 2 remains 2; final result: 84.</scratch>#92 - 8
A machine at the soda factory can usually fill a barrel of soda in 3 minutes. However this morning a leak went unnoticed and it took 5 minutes to fill one barrel. If the leak remains undetected, how much longer will it take to fill 12 barrels of soda than on a normal day when the machine works fine?#24#60-36#<scratch>Subtracting 6 from 0 at digit level;  0 < 6;  Borrow: 1; 10 - 6 = 4. move one place left; 6 becomes 5; Subtracting 3 from 5 at digit level;  5 >= 3;  Borrow: 0; 5 - 3 = 2. move one place left; 0 remains 0; final result: 24.</scratch>#60 - 36
Steve makes 40000$ a year as a teacher.  He loses 20 percent to taxes, 10 percent to healthcare, and 800$ to local union dues.  How much money does Steve take home?#27,200#40000-8000-4000-800#<scratch>Subtracting 0 from 0 at digit level;  0 >= 0;  Borrow: 0; 0 - 0 = 0. move one place left; 0 remains 0; Subtracting 0 from 0 at digit level;  0 >= 0;  Borrow: 0; 0 - 0 = 0. move one place left; 0 remains 0; Subtracting 2 from 0 at digit level;  0 < 2;  Borrow: 1; 10 - 2 = 8. move one place left; 0 becomes -1; Subtracting 3 from -1 at digit level;  -1 < 3;  Borrow: 1; 9 - 3 = 6. move one place left; 4 becomes 3; Subtracting 0 from 3 at digit level;  3 >= 0;  Borrow: 0; 3 - 0 = 3. move one place left; 0 remains 0; final result: 36800.</scratch>#40000 - 3200
Jordan is a hockey goalie. In the first period of a game, he blocked four shots. In the second period, he blocked twice as many shots. In the third period, he blocked three fewer than in the second period. When the game ended after the fourth period, he had blocked 21 shots in all. How many did Jordan block in the fourth period?#4#21-17#<scratch>Subtracting 7 from 1 at digit level;  1 < 7;  Borrow: 1; 11 - 7 = 4. move one place left; 2 becomes 1; Subtracting 1 from 1 at digit level;  1 >= 1;  Borrow: 0; 1 - 1 = 0. move one place left; 1 remains 1; final result: 4.</scratch>#21 - 17
Mary is writing a story, and wants her 60 characters to be split according to their initials. Half of her characters have the initial A, and half of this amount have the initial C. Mary wants the rest of her characters to have the initials D and E, but she wants there to be twice as many characters with the initial D as there are characters with the initial E. How many of Mary’s characters have the initial D?#10#15-5#<scratch>Subtracting 5 from 5 at digit level;  5 >= 5;  Borrow: 0; 5 - 5 = 0. move one place left; 1 remains 1; Subtracting 0 from 1 at digit level;  1 >= 0;  Borrow: 0; 1 - 0 = 1. move one place left; 5 remains 5; final result: 10.</scratch>#15 - 5
A store is selling mobile phones. This store contains 20 units of phones but the owner found out that there were 5 defective units. After he got rid of the defective units, he started to sell the rest of his units to customer A who bought 3 units, customer B who bought a certain amount of units, and customer C who bought 7 units. In the end, all non-defective units were sold. How many units were sold to Customer B?#5#15-10#<scratch>Subtracting 0 from 5 at digit level;  5 >= 0;  Borrow: 0; 5 - 0 = 5. move one place left; 1 remains 1; Subtracting 1 from 1 at digit level;  1 >= 1;  Borrow: 0; 1 - 1 = 0. move one place left; 5 remains 5; final result: 5.</scratch>#15 - 10
Of 96 oranges, half were ripe. If 1/4 of the ripe oranges were eaten and 1/8 of the unripe oranges were eaten, how many were left eaten in total?#78#96-18#<scratch>Subtracting 8 from 6 at digit level;  6 < 8;  Borrow: 1; 16 - 8 = 8. move one place left; 9 becomes 8; Subtracting 1 from 8 at digit level;  8 >= 1;  Borrow: 0; 8 - 1 = 7. move one place left; 6 remains 6; final result: 78.</scratch>#96 - 18
Bella is making bracelets for her 6 friends. She needs 8 beads per bracelet. She has 36 beads. How many more beads does she need to make all six bracelets?#12#48-36#<scratch>Subtracting 6 from 8 at digit level;  8 >= 6;  Borrow: 0; 8 - 6 = 2. move one place left; 4 remains 4; Subtracting 3 from 4 at digit level;  4 >= 3;  Borrow: 0; 4 - 3 = 1. move one place left; 8 remains 8; final result: 12.</scratch>#48 - 36
Sabrina went to the library and found a historical series novel called The Rangers Apprentice. There are 14 books in the series, and each book has 200 pages. She read four books in a month and half the number of books remaining in the second month. What's the total number of pages Sabrina has to read to finish the whole series?#1000#2800-1800#<scratch>Subtracting 0 from 0 at digit level;  0 >= 0;  Borrow: 0; 0 - 0 = 0. move one place left; 0 remains 0; Subtracting 0 from 0 at digit level;  0 >= 0;  Borrow: 0; 0 - 0 = 0. move one place left; 8 remains 8; Subtracting 8 from 8 at digit level;  8 >= 8;  Borrow: 0; 8 - 8 = 0. move one place left; 2 remains 2; Subtracting 1 from 2 at digit level;  2 >= 1;  Borrow: 0; 2 - 1 = 1. move one place left; 0 remains 0; final result: 1000.</scratch>#2800 - 1800
Jerry had 63 pieces of candy.  He divided them up equally into 9 bags.  2 of the bags had chocolate hearts.  3 of the bags were chocolate kisses.  The rest of the bags were not chocolate.  How many pieces of candy were not chocolate?#28#63-35#<scratch>Subtracting 5 from 3 at digit level;  3 < 5;  Borrow: 1; 13 - 5 = 8. move one place left; 6 becomes 5; Subtracting 3 from 5 at digit level;  5 >= 3;  Borrow: 0; 5 - 3 = 2. move one place left; 3 remains 3; final result: 28.</scratch>#63 - 35
